gene,upstream_bp,downstream_bp,window_length_bp,outside_n_seeds,outside_mean_retention,outside_median_retention,outside_sd_retention,outside_min_retention,outside_max_retention,outside_fraction_seeds_ge_0p7,inside_n_seeds,inside_mean_retention,inside_median_retention,inside_sd_retention,inside_min_retention,inside_max_retention,inside_fraction_seeds_ge_0p7,contains_full_minor_motif,passes_mean_criterion,passes_median_criterion
CELSR2,175.0,55.0,231.0,8,0.21095202602845195,0.23629838585441929,0.07810940366768167,0.08561513514805376,0.2943338849148144,0.0,8,0.00837650792407348,0.008173328981082546,0.005617291286274082,0.0017651894408185866,0.016307720746116326,0.0,True,False,False
CELSR2,175.0,60.0,236.0,8,0.2675938636234094,0.29345862562730796,0.10653321914270932,0.11599333938409778,0.4066086800269135,0.0,8,0.01045727864463647,0.004458991768350824,0.011139363667902843,0.0006536767960938712,0.024950505745297318,0.0,True,False,False
CELSR2,175.0,65.0,241.0,8,0.29697944738188187,0.29182981010273334,0.09413104548961637,0.16502842977779014,0.45929356906807856,0.0,8,0.010682776555307617,0.009909495962394061,0.007869027663527055,0.0009786379570730984,0.02282566688766098,0.0,True,False,False
CELSR2,175.0,70.0,246.0,8,0.26481005922195233,0.27606219677783916,0.06936786562144945,0.15375645490454443,0.3479647644847414,0.0,8,0.009482368240696582,0.011851760119306592,0.005681993329894576,0.0004954248454886955,0.014871681668759452,0.0,True,False,False
CELSR2,175.0,75.0,251.0,8,0.27475387570767557,0.27199405361564133,0.06918098964981755,0.15989006557556967,0.3815110231024463,0.0,8,0.012871997259307233,0.009216190676772387,0.009086870710448967,0.00450027595446495,0.02722032406990416,0.0,True,False,False
CELSR2,175.0,80.0,256.0,8,0.26799444995487187,0.261082773277024,0.0772842257938306,0.14793858433287213,0.3970152425528557,0.0,8,0.010588737028166787,0.011508138706714192,0.009020652474293966,0.0010045868487435,0.02816513368939483,0.0,True,False,False
CELSR2,175.0,85.0,261.0,8,0.2768247716813664,0.2706888316890449,0.07377247757499597,0.16704207970609522,0.371907390354807,0.0,8,0.010035349412214184,0.00480834164437165,0.010278903958554008,0.0008896712744300919,0.024199863310694552,0.0,True,False,False
CELSR2,175.0,90.0,266.0,8,0.3047342230580989,0.3073394166703888,0.06696475208167935,0.19254645928521283,0.38891875386369446,0.0,8,0.012576109738893714,0.013236644316804998,0.0076689832142324945,0.0011247430816565763,0.0250483542236295,0.0,True,False,False
CELSR2,175.0,95.0,271.0,8,0.32129279086276563,0.30069775267780685,0.08335587506774116,0.21330322317640726,0.4773458185564094,0.0,8,0.010387536868761716,0.010170931936830508,0.008244114228593294,0.0005937088120777327,0.025013524709240776,0.0,True,False,False
CELSR2,175.0,100.0,276.0,8,0.3582957409589881,0.3349134743069966,0.11157297298297501,0.2220504298439167,0.5635137112178537,0.0,8,0.008907453114802809,0.007251696556179171,0.006639303015974236,0.0005305884617151843,0.019806930564617208,0.0,True,False,False
