gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
MSMB,ENSG00000263639,,1.6,9.73185321056504e-05,0.2304489213782739,-3.7048321240065074
LINC02210-CRHR1,ENSG00000263715,,0.0,0.0077445892954083,-1.0,-2.1054297890314095
GDF2,ENSG00000263761,,17.4,0.0011932104788729,1.2430380486862944,-2.888330784961936
LASP1NB,ENSG00000263874,,0.6,0.0028460132353685,-0.1549019599857432,-2.5307653063614826
NBPF11,ENSG00000263956,,16.0,0.0306667453825652,1.2068258760318498,-1.5119184425614651
RHEX,ENSG00000263961,,0.9,0.0874391482848282,0.0,-1.0577976831855358
AKR1C8,ENSG00000264006,,6.7,0.1161777555848185,0.8325089127062363,-0.9345033596547544
ANXA8L1,ENSG00000264230,,1.1,0.0008498970322179,0.0791812460476248,-3.022323469198733
NOTCH2NLA,ENSG00000264343,,27.4,0.0260104573887556,1.4393326938302626,-1.5831855203764893
DYNLL2,ENSG00000264364,,32.9,0.0866657282236999,1.5185139398778875,-1.061651783838311
MYH4,ENSG00000264424,,0.1,5.523142997977899e-05,-0.6989700043360187,-3.809020341809565
OTUD7B,ENSG00000264522,,10.0,0.0471137472752168,1.0043213737826426,-1.3259315289827611
ENSG00000264668,ENSG00000264668,,0.1,0.0271257944559048,-0.6989700043360187,-1.565019438559092
NPY4R2,ENSG00000264717,,0.0,4.347679356152958e-05,-1.0,-3.84321833755848
GJA5,ENSG00000265107,,1.1,0.0177526616219887,0.0791812460476248,-1.748297026522617
ENSG00000265118,ENSG00000265118,,0.3,0.0736683524668956,-0.3979400086720376,-1.1321299159116358
ANXA8,ENSG00000265190,,1.6,0.0006096412713335,0.2304489213782739,-3.1489611347332915
RBP3,ENSG00000265203,,0.0,0.0001396050231797,-1.0,-3.620504081456525
RBM8A,ENSG00000265241,,68.9,0.7011233652635166,1.8388490907372552,-0.1541436213347284
ENSG00000265303,ENSG00000265303,,5.9,0.0208926598628262,0.7781512503836436,-1.6779325309000783
TIMM23,ENSG00000265354,,69.3,0.121760972816254,1.8413594704548548,-0.9141353592244772
RNF115,ENSG00000265491,middle500,4.9,0.0728957573656864,0.6989700043360189,-1.136702381060588
CFAP298-TCP10L,ENSG00000265590,,10.8,0.1784542102835644,1.0374264979406236,-0.7482299047466898
RPL17,ENSG00000265681,top500,1548.5,2.4023822136774893,3.1899392549275123,0.3806601811354578
ZNF488,ENSG00000265763,,0.0,0.0009597054493583,-1.0,-2.9748148323719636
